title_x,author(s)_x,average_rating_x,isbn13,language_code_x,num_pages_x,ratings_count_x,text_reviews_count_x,publication_date_x,publisher_x,title_y,author(s)_y,average_rating_y,language_code_y,num_pages_y,ratings_count_y,text_reviews_count_y,publication_date_y,publisher_y,genres
harry potter and the half-blood prince (harry potter  #6),j.k. rowling/mary grandpré,4.57,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652.0,2095690.0,27591.0,9/16/2006,Scholastic Inc.,"['fiction', 'magic', 'witches', 'school stories', 'family', 'fantasy', 'coming of age']"
harry potter and the order of the phoenix (harry potter  #5),j.k. rowling/mary grandpré,4.49,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870.0,2153167.0,29221.0,9/1/2004,Scholastic Inc.,"['magic', 'fiction', 'fantasy', 'coming of age', 'school stories', 'family', 'witches', 'witchcraft', 'english literature']"
harry potter and the chamber of secrets (harry potter  #2),j.k. rowling,4.42,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352.0,6333.0,244.0,11/1/2003,Scholastic,"['school stories', 'fiction', 'fantasy', 'magic', 'witches', 'witchcraft', 'english literature', 'family', 'juvenile', 'social issues', 'humor', 'adventure']"
harry potter and the prisoner of azkaban (harry potter  #3),j.k. rowling/mary grandpré,4.56,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435.0,2339585.0,36325.0,5/1/2004,Scholastic Inc.,"['fantasy', 'literature', 'adventure', 'magic', 'witches', 'school stories', 'family', 'fiction', 'english literature']"
harry potter boxed set  books 1-5 (harry potter  #1-5),j.k. rowling/mary grandpré,4.78,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690.0,41428.0,164.0,9/13/2004,Scholastic,[]
"unauthorized harry potter book seven news: ""half-blood prince"" analysis and speculation",w. frederick zimmerman,3.74,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152.0,19.0,1.0,4/26/2005,Nimble Books,[]
harry potter collection (harry potter  #1-6),j.k. rowling,4.73,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342.0,28242.0,808.0,9/12/2005,Scholastic,[]
the ultimate hitchhiker's guide: five complete novels and one story (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,3628.0,254.0,11/1/2005,Gramercy Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
the ultimate hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,249558.0,4080.0,4/30/2002,Del Rey Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,4.22,9781400052929,eng,215,4930,460,8/3/2004,Crown,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215.0,4930.0,460.0,8/3/2004,Crown,"['science fiction', 'fiction', 'english literature', 'adventure', 'space opera']"
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams/stephen fry,4.22,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6.0,1266.0,253.0,3/23/2005,Random House Audio,"['science fiction', 'fiction', 'english literature', 'adventure', 'space opera']"
the ultimate hitchhiker's guide (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,2877.0,195.0,1/17/1996,Wings Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
a short history of nearly everything,bill bryson,4.21,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544.0,248558.0,9396.0,9/14/2004,Broadway Books,"['science', 'humor', 'travel', 'philosophy', 'nonfiction', 'popular science']"
bill bryson's african diary,bill bryson,3.44,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55.0,7270.0,499.0,12/3/2002,Broadway Books,"['nonfiction', 'travel']"
bryson's dictionary of troublesome words: a writer's guide to getting it right,bill bryson,3.87,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256.0,2088.0,131.0,9/14/2004,Broadway Books,"['nonfiction', 'language']"
in a sunburned country,bill bryson,4.07,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,In a Sunburned Country,Bill Bryson,4.07,eng,335.0,72451.0,4245.0,5/15/2001,Broadway Books,"['travel', 'nonfiction', 'australia', 'humor']"
i'm a stranger here myself: notes on returning to america after twenty years away,bill bryson,3.9,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304.0,49240.0,2211.0,6/28/2000,Broadway Books,"['nonfiction', 'travel']"
the lost continent: travels in small town america,bill bryson,3.83,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299.0,45712.0,2257.0,8/28/1990,William Morrow Paperbacks,"['travel', 'nonfiction']"
neither here nor there: travels in europe,bill bryson,3.86,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254.0,48701.0,2238.0,3/28/1993,William Morrow Paperbacks,"['travel', 'nonfiction']"
notes from a small island,bill bryson,3.91,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,Notes from a Small Island,Bill Bryson,3.91,eng,324.0,80609.0,3301.0,5/28/1997,William Morrow Paperbacks,"['20th century', 'travel', 'nonfiction']"
the mother tongue: english and how it got that way,bill bryson,3.93,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270.0,28489.0,2085.0,9/28/1991,William Morrow Paperbacks,"['history', 'language']"
